,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
724_2,68,9,3,36,13,24,10,17,11,11,22,8,8,12,3,9,4,10,8,10,18,42,14,10,13,6,3,23,5,20,15,10,9,11,27,28,11,3,8,13,36,69,12,13,14,3,17,7,12,2
724_4,50,4,7,2,9,11,12,2,10,4,5,8,5,10,1,3,5,9,5,6,9,15,13,8,8,7,5,10,4,7,4,3,6,8,3,1,11,2,6,2,12,11,13,8,9,6,6,3,1,2
30_3,6,4,3,2,10,5,7,9,4,2,8,4,8,11,10,2,20,7,12,6,2,4,1,7,3,12,14,11,10,2,2,2,3,3,5,1,3,14,10,12,8,4,11,12,6,8,3,1,1,3
2057_1,4,10,5,13,8,20,7,15,11,11,9,8,3,14,3,5,1,10,19,6,12,13,9,7,9,7,1,3,16,5,8,2,5,17,1,13,10,4,2,0,0,18,24,17,11,10,6,4,2,2
2057_3,2,1,0,3,1,1,0,0,0,2,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,3,4,2,1,0,1,1,0,0,1,0,0,1,0,0,1,13,2,0,0,2,0,2,0,0
2057_2,1,2,0,2,6,5,5,8,3,0,0,3,1,8,0,1,0,7,4,6,5,8,2,0,0,4,0,4,5,2,4,0,0,3,1,3,4,0,0,0,0,6,6,11,2,6,1,1,1,2
903_3,0,0,5,3,5,11,1,0,1,4,0,0,1,3,1,0,2,3,9,0,0,1,3,6,0,5,2,8,8,1,1,1,2,0,3,0,1,2,4,0,1,2,4,3,2,3,1,0,0,0
700_4,18,2,9,1,4,35,3,1,0,5,2,13,5,7,6,0,10,2,4,6,1,28,2,4,2,9,5,4,3,1,5,4,3,0,8,0,3,7,2,4,0,0,7,2,0,10,2,1,2,0
543_1,27,32,35,12,1,11,15,16,32,31,52,44,49,26,43,16,66,22,14,57,16,46,23,12,26,49,54,13,20,38,34,30,16,13,28,5,24,67,44,32,37,10,25,28,13,44,24,29,47,60
780_11,8,4,7,3,10,19,3,2,5,4,1,5,7,3,17,1,17,2,3,5,3,11,2,4,1,8,16,3,4,9,5,1,2,4,10,0,1,14,5,68,13,1,1,2,5,12,2,1,10,8
73_16,6,7,7,0,5,3,2,1,13,14,4,4,9,7,12,15,13,2,5,6,4,23,7,3,5,7,27,5,10,0,18,2,7,0,15,1,4,17,31,19,6,1,6,5,0,9,5,8,41,2
73_15,0,0,3,0,3,1,1,1,2,3,0,1,2,1,13,2,9,0,2,3,0,1,1,2,0,4,10,7,4,0,4,0,2,0,4,0,3,11,0,0,0,2,0,1,0,4,1,1,6,0
73_14,0,0,1,3,4,3,0,0,3,4,0,0,2,1,18,1,5,0,1,0,2,11,2,0,0,2,12,10,2,0,2,0,0,0,2,0,0,9,2,5,1,2,2,0,0,7,0,1,5,0
1953_9,33,19,13,10,27,39,6,14,16,20,10,12,22,17,10,7,26,16,27,11,14,22,20,21,10,36,11,28,29,26,13,9,22,8,35,9,9,21,17,1,22,9,24,11,19,34,14,20,26,6
1953_8,30,12,14,14,13,27,11,23,15,20,9,20,26,18,12,6,27,15,17,9,13,9,16,15,14,32,6,13,32,19,25,11,18,17,36,20,8,20,20,7,22,11,24,9,23,36,8,10,26,11
